Francais,Nufi
Peut-être il est à la cuisine.,Mbé'ntìè' mɑ̀ ǎ mɑ̀ ndʉ̄ɑ̀lə̄ə̄.
Il doit être à la cuisine.,Ǎ ìmbɑ̄ mɑ̀ ndʉ̄ɑ̀lə̄ə̄.
L'enfant a mangé?,Móó zɑ̄ wúzɑ̄ ɑ́?
"Oui, l'enfant a mangé.","Ŋ̄h, móó zɑ̄ wúzɑ̄."
Pourquoi pleure-t-il alors?,Tɑ̀ nǔkɑ́ á mɑ̀ngé' ē?
Il pleure parce qu'il est fâché.,Ǎ mɑ̀ngé' mbī'tū mɑ́ á mɑ̀njā'nthʉ̄.
"Non, l'enfant n'a pas mangé.","Ngǎ', mōō kɑ̀' zɑ̄ wúzɑ̄(bɑ̄)."
"Non, il/elle n'a pas encore mangé.","Ngǎ', à kɑ̀' tɑ̄ nzɑ̄ wúzɑ̄(bɑ̄)."
Il/elle n'a pas encore mangé.,À yǎt sì zɑ̄ wúzɑ̄(bɑ̄).
"Pardonne-moi, je t'ai menti.","Lɑ̀hsì ā lɑ́, ngɑ̌ fʉ̀ɑ̀ ō."
L'enfant est en train de manger maintenant?,Móó mɑ̀nzɑ̄ wúzɑ̄ ntìé' é?
Il n'est pas en train de manger maintenant.,"Ngǎ', à sī mɑ̀nzɑ̄ wúzɑ̄ ntìé' bɑ̄."
Qui fait du bruit?,Wɑ̄ bɑ́ mɑ̀njwáásí ī?
Ce n'est pas moi.,Sī mʉ̀ bɑ́ bɑ̄.
Qu'est-ce qui fait donc bruit?,Tɑ̀ kɑ́ bɑ́ mɑ̀njwáásí ī?
Ça doit être la souris.,Yáá ìmbɑ̄ mɑ̀ cwǎkhù bɑ́.
Quand est-ce que ta grand-mère est venue?,Mɑ̄ ē ndāmɑ̀ lɑ̀sɑ̌' sēnɑ̄ ɑ̄?
Elle était venue avant-hier.,À lɑ̀sɑ̌' njàmnzɑ̄ wāhà.
À quelle heure est-ce que ton père est allé au travail?,Mbɑ̄' é fhʉ̄ngén mfɑ̌' nɑ́ nàm sʉ̄'ʉ̄?
Je ne sais pas moi.,Ǹ kɑ̀' zhī zǎ(bɑ̄).
Mon père est allé au travail à sept heures et demie.,Mbɑ̄' ó fhʉ̄ngén mfɑ̌' nɑ́ nàm sə̀ə̀mbʉ́ɑ́ mɑ̀ kàm.
Il est parti avec qui?,Ǎ shʉ̀ɑ̀ pí wɑ̄?
Il est parti seul.,Ǎ shʉ̀ɑ̀ ndǒk ì.
Il n'est pas parti avec sa mère?,À kɑ̀' shʉ́ɑ́ pí mɑ̄ ā á [mɑ᷄]?
Avec qui?,Pí wɑ̄?
Avec qui(quand c'est la 2ème fois qu'on pose la question)?,Pí wɑ̄ lī?
Avec mes parents.,Pí mbɑ̄' ō mbɑ̀ mɑ̄vǒ.
De qui es-tu l'enfant?,Ǒ mɑ́ mên wɑ̄?
Je suis l'enfant de papa Mbeu'Nambou.,Ngɑ̌ mɑ́ mên táàwɑ̄ Mbʉ̂' Nǎ'mbū'.
Où es-tu né?,Pō lɑ̀zí ō mɑ̀ hɑ̄?
Je suis né à Mbanga.,Pō lɑ̀zí ā mɑ̀ Mbàngā.
Où est votre maison/village?,Mbèè yèé mɑ̀ hɑ̄?
Notre village est Baboutcheu-Ngaleu.,Mbèè yǒh mɑ̀ Póóncə̄ə̄-Ngǎ'lʉ̄ɑ̄'.
Où est le village natal de ta mère?,Zʉ̌'zí mɑ̄ é mɑ̀ hɑ̄? Lɑ́'zí mɑ̄ é mɑ̀ hɑ̄? Pō lɑ̀zí mɑ̄ ē mɑ̀ hɑ̄?
Mon lieu de naissance(mon village natal) est Bandja.,"Zʉ̌'zī á mɑ̀ Njə̄ə̄, lɑ́'zī á mɑ̀ Njə̄ə̄."
Quand et où es-tu né?,Pō lɑ̀zí ō sēnɑ̄? ɑ́ hɑ̄?
"Je suis né à Komako, au Cameroun, le 04 Octobre 2006.","Pō lɑ̀zí á Kōōkò, ɑ́ Kàmèrûn, líé'nzɑ̄ kwɑ̀, ndʉ̌'nzɑ̄, ngù' 2006."
À quelle heure es-tu venu?,Ǒ sɑ̌' nɑ́ yàā ndɑ̀h/ntìè'?
"Je suis venu depuis, il y a un bon bout de temps.",Ngɑ̌ fhʉ́nsɑ́' fhʉ̄(tɑ̀) ntìè'.
Avec quoi es-tu venu?,Ǒ lǎh kɑ́ nsɑ́' ɑ̄?
Je n'ai rien apporté.,Ǹ kɑ̀' láh sə̀ə̄wū nsɑ́'.
Quel genre de repas veux-tu?,Yàā ntīē wúzɑ̄ tɑ́ ó mɑ̀nkwé' ē?
Quel genre de boisson aimes-tu généralement?,Yàā ntīē ndū' tɑ́ ó(ngʉ́) nkwé' ē?
"Aucun, je ne bois pas de boisson.","Sə̀ə̄ yāā, ǹ sǐ' nnū ndù' bɑ̄."
Où vas-tu ainsi?,Ǒ ngén mɑ̀ hɑ̄ fà'á ā?
Nulle part. Je déambule.,Sə̀ə̄ zʉ̀'. Ngɑ̌ mɑ̀nkāā sì tú yāā.
Combien dois-je prendre?,Ń dǎh sʉ̄'ʉ̄?
Quelle quantité dois-je prendre?,Ń dǎh mvàk lāhā?
Es-tu venu aujourd'hui?,Ǒ sɑ̀' mɑ́ zě'é?
"Non, je suis venu plutôt hier.","Ngǎ', ǹ kɑ̀sɑ̌' mɑ́ wāhà."
Pourquoi es-tu venu ici?,Nǔkɑ́ ǒ sɑ̌' séè? Nǔkɑ́ ó nsɑ̌' séè?
Je suis venu vous rendre visite.,Ngɑ̌ sɑ̌' yə̀'/ywè' yēē.
Je suis venu chercher ton père.,Ngɑ̌ sɑ̌' cāk mbɑ̄' ē.
Qui est-ce? [En pointant quelqu'un près de moi],Wɑ̄ béè?
Qui est-ce? [En pointant quelqu'un près de celui à qui on parle.],Wɑ̄ báá ā?
Qui est-ce? [En pointant quelqu'un loin de ceux qui parlent.],Wɑ̄ bíì?
C'est mon petit frère.,Ngà'njǎm à(yì mbâ') bɑ́.
C'est ma grande sœur.,Ngà'mbhǐ à(yì mʉ̀nzhwīē) bɑ́.
Comment appelle-t-on ceci/ça?,Pó ncēh yāā lè mɑ́ kɑ́?
On appelle ça une brosse à dents. C'est une brosse à dents.,Pó ncēh yāā mɑ́ nshù'nsə̀'. Nshù'nsè' bɑ́.
Pourquoi pleures-tu?,Nǔkɑ́ ó mɑ̀ngé' ē?
Je pleure parce que Kambou m'a frappé.,Ngɑ̌ mɑ̀ngé' mbī'tū mɑ́ Kǎmbú' zàb ā.
Pourquoi pleure-t-il?,Nǔkɑ́ ǎ [nǔká] mɑ̀ngé' ē?  Ǎ mɑ̀ngé' nǔkɑ́?
Il/elle pleure parce qu'il/elle a faim.,Ǎ mɑ̀ngé' mbī'tū mɑ́ nzhìèkú' mɑ̀nkō ī.
Pourquoi a-t-il/elle faim?,Nǔkɑ́ nzhìèkú' mɑ̀nkō ī? Nzhìèkú' mɑ̀nkō ī nǔkɑ́?
Il/elle a faim parce qu'il/elle n'a rien mangé.,Nzhìèkú' mɑ̀nkō ī mbī'tū mɑ́ á kɑ̀' zɑ̄ sə̀ə̄wū.
Pourquoi ris-tu?,Nǔkɑ́ ǒ [nǔkó] mɑ̀nzhwíé ē?
Je ris parce que je suis content.,Ngɑ̌ mɑ̀nzhwíé mbī'tū mɑ́ nǔ mɑ̀mbé' ā [Ngɑ̌ mɑ̀ncá'sí].
Pourquoi l'as-tu tapé(e)/battu(e)?,Nǔkɑ́ ó zàb ī? Nǔkɑ́ ó nzàb ī? Ǒ zàb ī nǔkɑ́?
Je l'ai frappé parce qu'il a gâté mon jouet.,Ngɑ̌ zàb ī mbī'tū mɑ́ á pɑ̄psī wúsʉ̀ɑ̀ za᷅.
Je l'ai frappé parce qu'il m'a taquiné.,Ngɑ̌ zàb ī mbī'tū mɑ́ á kàm ā.
Où es-tu?,Ǒ mɑ̀ hɑ̄?
Je suis au travail.,Ngɑ̌ mɑ̀ mfɑ̀'.
Je suis à la cuisine.,Ngɑ̌ mɑ̀ ndʉ̄ɑ̀lə̄ə̄.
Je suis chez mon ami(e).,Ngɑ̌(mɑ̀) wú sēn à.
Que fais-tu?,Ǒ mɑ̀ngʉ́ kɑ́?
J'étudie mes leçons.,Ngɑ̌ mɑ̀nzhī'sī wū.
Je suis occupé(e),Ngɑ̌ cáhsí.
Je travaille.,Ngɑ̌ mɑ̀mfɑ́'.
Où vas-tu?,Ǒ mɑ̀ngén mɑ̀ hɑ̄? Ǒ ngén mɑ̀ hɑ̄?
Je vais à(au) …,Ngɑ̌(mɑ̀)ngén mɑ̀ …
Je vais à l'école.,Ngɑ̌(mɑ̀)ngén mɑ̀ zʉ̌'ŋwɑ̀'nì.
Je vais au travail.,Ngɑ̌(mɑ̀)ngén mɑ̀ mfɑ̀'.
Je vais au champ.,Ngɑ̌(mɑ̀)ngén mɑ̀ kò.
Je vais chez …,Ngɑ̌(mɑ̀)ngén mɑ̀ wú …
Je vais chez mon ami.,Ngɑ̌(mɑ̀)ngén mɑ̀ wú sēn à.
Je m'en vais chez la coiffeuse.,Ngɑ̌(mɑ̀)ngén mɑ̀ wú nkwâtū/mbɑ̂'tū.
Je m'en vais chez le coiffeur.,Ngɑ̌(mɑ̀)ngén mɑ̀ wú nkōòtū.
Que vas-tu faire là-bas? Pour quelle raison y vas-tu?,Ǒ mɑ̀ngén mʉ̀ nǔkɑ́? Ǒ ngén mʉ̌ ɑ́ ghʉ̌ kɑ́?
Je vais me faire tresser les cheveux.,Ngɑ̌(mɑ̀)ngén kwāt/pɑ̄' tū ā.
Je vais me raser la tête.,Ngɑ̌(mɑ̀)ngén kōō tū ā.
Je vais lui rendre visite.,Ngɑ̌(mɑ̀)ngén yə̀'/ywè' ī.
Je vais le saluer.,Ngɑ̌(mɑ̀)ngén cɑ̀'sì ī.
Vas-tu y rester longtemps?,Ǒ ìnsī mʉ̀ tɑ̀' ɑ́?
"Non, je ne vais pas y rester longtemps.","Ngǎ', ǹ sī ìnsī mʉ̀ yə̄ə̄ bɑ̄."
Où as-tu entendu cela?,Ǒ yú' yāā mɑ̀ hɑ̄?
J'ai entendu ça au marché.,Ngɑ̌ yú' yāā mɑ̀ ntēē.
J'ai écouté ça à la radio,Ngɑ̌ yú' yāā mɑ̀ ntám mbǔ'nkèn.
Où est ta mère/maman?,Mɑ̄ é mɑ̀ hɑ̄?
Elle est sortie.,Ǎ tóm. Ǎ tə́b.
"Désolé, je t'ai menti, elle est à la maison.","Lɑ̀hsì ā lɑ́, ngɑ̌ fʉ̀ɑ̀ ō, ǎ mbèè(ǎ ndʉ́ɑ́)."
Que fait-il/elle?,Ǎ mɑ̀ngʉ́ kɑ́? Kɑ́ tɑ́ ǎ mɑ̀ngʉ́ ʉ̄?
"Elle fait la cuisine, elle prépare à manger.",Ǎ mɑ̀ndə̄ə̄ wúzɑ̄.
Où est ton père/papa?,Mbɑ̄' é mɑ̀ hɑ̄?
Il regarde la télé.,Ǎ mɑ̀njīī mbǔ'nkěn-yīīsì.
Je lui ai dit que tu es venu(il y a peu de temps) chercher ma grande sœur.,Ngɑ̌ lén mbú í mɑ́ ó fhʉ̄nsɑ́' ncāk ngà'mbhǐ à yì mʉ̀nzhwīē.
Tu es malade? Pourquoi lui as-tu dit?,Ǒ mɑ̀ngóó ú? Ǒ sók í nǔkɑ́?
Je lui ai dit parce qu'il m'a demandé.,Ngɑ̌ sók ī mbī'tū mɑ́ á tə̀'sì ā.
Qui a mangé ma nourriture?,Wɑ̄ bɑ̄ nzɑ̄ wúzɑ̄ ā?
C'est la souris qui a mangé ta nourriture.,Cwǎkhù bɑ̄ nzɑ̄ wúzɑ̄ ō.
Qui t'a frappé/tapé/battu?,Wɑ̄ bɑ̄ nzàb ō?
C'est maman qui m'a frappé.,Mɑ̄vǒ bɑ̄ nzàb ā.
Qui te taquine?,Wɑ̄ bɑ́ mɑ̀nkám ō?
C'est Mbūānì qui me taquine.,Mbūànì bɑ́ mɑ̀nkám ā.
Qui fait du bruit? Qui bavarde?,Wɑ̄ bɑ́ mɑ̀njwáásí ī?
C'est Sīēwèn qui bavarde.,Sīèwèn bɑ́ mɑ̀njwáásí.
Qui pleure?,Wɑ̄ bɑ́ mɑ̀ngé' ē?
C'est Monthe.,Mòōntʉ̀ɑ̀' bɑ́.
Est-ce que tu t'es lavé?,Ǒ sǒh nā ō ó? Tɑ̀ ǒ sǒh nā ò?
"Non, je ne me suis pas encore lavé.","Ngǎ', ǹ njǎt sì sǒh nā à(bɑ̄)."
"Oui, je me suis déjà lavé.",Ŋ̄h! Ngɑ̌ yá' sǒh nā à.
Est-ce que tu t'es lavé les mains ?,Ǒ sǒh mbō mō ó? Tɑ̀ ǒ sǒh mbō mō ò?
"Oui, je me suis lavé les mains.","Ŋ̄h, ngɑ̌ sǒh mbō ma᷅."
As-tu mangé? Est-ce que tu as mangé?,Ǒ zɑ́ wúzɑ̄ ɑ́? Tɑ̀ ǒ zɑ́ wū ù?
"Oui, j'ai mangé.","Ŋ̄h, ngɑ̌ zɑ́ wū/wúzɑ̄."
"Non, je n'ai rien mangé.","Ngǎ', ǹ kɑ̀' zɑ̄ sə̀ə̄wū(bɑ̄)."
As-tu écouté la nouvelle?,Ǒ yú' cə̀' ə́? Ǒ yú' cwè' é? Tɑ̀ ǒ yú' cə̀'/cwè'?
"Non, je n'ai pas écouté la nouvelle.","Ngǎ', ǹ kɑ̀' yū' cə̀'/cwè'(bɑ̄)."
Qu'est-ce que tu fais comme ça?,Kɑ́ tɑ́ ó mɑ̀ngʉ́ fà'á ā? Ǒ mɑ̀ngʉ́ kɑ́ fà'á ā?
Qu'est-ce que j'ai fait?,Ngɑ̌ ghʉ̌ kɑ́? Ngɑ̌ ghʉ̀ lāhā?
Qu'as-tu fait comme ça?,Kɑ́ tɑ́ ó ghʉ̀ fà'á ā? Ǒ ghʉ̌ kɑ́ fà'á ā?
Tu as déjà vu quoi?,Ǒ yá' yīī kɑ́? Ǒ yá' tɑ̄ njīī kɑ́?
Qu'est-ce que c'est?,Kɑ́ bɑ́ ɑ̄?
C'est un rat.,Mbɑ̀ɑ̄ndòm bɑ́.
Qu'est-ce que c'est que ceci/ça?,Kɑ́ béè?
C'est une abeille.,Ŋwɑ̄' bɑ́.
Quelle heure est-il?,Nàm sʉ̄' béè?
Il est 14h.,Nàm pʉ́ɑ́ mbūànzɑ̄ béè(2:00 MBZ).
Combien y a-t-il?,Yáá sʉ̄'ʉ̄? Yáá mvàk lāhā?
Il y en a quatre.,Yáá kwɑ̀.
Combien sont-ils?,Pó pʉ̀ sʉ̄'ʉ̄?
Ils sont nombreux.,Pó tɑ̀ njə̄ə̄.
Chapitre 5. Relations familiales.,Nzâknù 5. Nkhʉ̌těndʉ̄ɑ̄.
"La famille est la racine vitale de l'humanité. À la fin de ce chapitre, vous serez en mesure de citer tous les membres de la famille en langue fè'éfě'è.",Těndʉ́ɑ́ mbɑ̄ mɑ́ ngǎ'vɑ̌h nzhwìàwènòk! Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī zén nkwèè pʉ̌ těndʉ̄ɑ̄ ò mɑ̀ ghə̀ə̄ fè'éfě'è.
La famille.,Těndʉ̄ɑ̄.
Ma famille.,Těndʉ̄ɑ̄ à.
Comment va ta famille?,Těndʉ̄ɑ̄ ó mɑ̀ lāhā?
Ma famille se porte bien.,Těndʉ̄ɑ̄ á ntèn.
Ma famille ne se porte pas bien.,Těndʉ̄ɑ̄ ā sī ntèn bɑ̄.
Le père.,Mbɑ̄'.
Mon père.,Mbɑ̄' ō [Mbō'ō]/Táàwɑ̄.
La mère.,Mɑ̄.
Ma mère.,Mɑ̄vǒ/ Mɑ̂ wɑ̄/Mɑ̄ ō [Mō ō].
Ta mère.,Mɑ̄ ē [Mēē].
Ton père.,Mbɑ̄' ē [Mbē'ē]/ Táà wē.
Sa mère.,Mɑ̄ ā [Mɑ̄ɑ̄].
Son père.,Mbɑ̄' ā [Mbɑ̄' ɑ̄]/ Táà wā.
Notre mère.,Mɑ̄ ā yòh.
Notre père.,"Mbɑ̄'(à) yòh, Mbɑ̂' yòh."
Votre mère.,Mɑ̄ à yèè.
Votre père.,"Mbɑ̄'(à) yèè, Mbɑ̂' yèè."
Leur mère.,Mɑ̄ ā yɑ̀ɑ̀.
Leur père.,"Mbɑ̄'(à) yɑ̀ɑ̀, Mbɑ̂' yɑ̀ɑ̀."
Les parents.,Mbɑ̄' pí mɑ̄. Pɑ̀mbɑ̄'.
Mes parents.,Mbɑ̄' ō pí mɑ̄vǒ. Pɑ̀ mbɑ̄' zǎ.
Tes grands-parents sont encore vivants?,Mbɑ̄' ē pí mɑ̄ ē ndāmɑ̌ nját wū ú?
Mes grands-parents ne sont plus vivants.,Mbɑ̄' ō pí mɑ̄vǒ ndāmɑ̀ sǐ' nját wū bɑ̄.
L'enfant.,Mōō/Mēn.
Mon enfant.,Mēn à.
Les enfants.,"Pōō, pʉ̄nkhʉ̄ɑ̄."
Mes enfants sont très intelligents.,Pōō mbǎ nzhīnù tɑ̀'.
Tes enfants sont très têtus.,Pōō mbǒ ncə́ə́/nshwītū/nténtū tɑ̀'.
Ses enfants sont très chiches.,Pōō mbǐ ngʉ̄ɑ̄' tɑ̀'.
Mon premier-né.,Túfì ā.
Mon premier-né est très bête.,Túfì á nkíkén tɑ̀'.
Ton premier-né est déjà marié?,Túfì ó yá' lə̄ə̄ndʉ̄ɑ̄ ɑ́?
Son premier-né est décédé aujourd'hui.,Túfì í kúɑ́(cák lò kīkēē) zě'è.
Dernier-né.,Ncát mōō.
Je suis le dernier-né.,Ngɑ̌ mɑ́ ncát mōō.
Il/elle est mon dernier-né.,Ǎ mɑ́ ncát mēn à.
Mon dernier-né est très paresseux.,Ncát mēn ǎ ndē' tɑ̀'.
Je suis enfant unique.,Ngɑ̌ mɑ́ nshwìè mōō.
Les petits-enfants.,Póópōō. Pōō yòk pʉ́ɑ́.
Les jumeaux.,Póónì. Ngʉ̀ɑ̀'ndʉ̄ɑ̄.
La mère des jumeaux.,Mɑ̂nì. Ndʉ̀mbʉ́ɑ́.
Le père des jumeaux.,Táànì/Tέɛ̀nì. Mbàtndʉ̄ɑ̄.
"Le frère, la sœur.",Mēmmɑ̄.
"Mon frère, Ma sœur.",Mēmmɑ̄ ò.
Un homme.,Mbâ'.
Une femme.,Mʉ̀nzhwīē.
Mon frère.,Mēmmɑ̄ ò yì mbâ'.
Ma sœur.,Mēmmɑ̄ ò yì mʉ̀nzhwīē.
Les frères et sœurs.,Póómɑ̄. Mfátmfāt.
Mes frères et sœurs.,Póómɑ̄ ō.
"Le grand-frère, la grande-sœur.",Ngà'mbhì.
"Mon grand-frère, ma grande-sœur.",Ngà'mbhǐ à.
"Le petit-frère, la petite-sœur.",Ngà'njàm.
"Mon petit-frère, Ma petite-sœur.",Ngà'njǎm à.
Le grand père.,Mbɑ̄'ndāmɑ̀/Mbɑ̄'ndābɑ̀.
Mon grand-père.,Mbɑ̄' ō ndāmɑ̀.
"La grand-mère, la mamie.",Mɑ̄ndāmɑ̀/Mɑ̄ndābɑ̀.
Ma grand-mère.,Mɑ̄vǒ ndāmɑ̀.
Où vivent tes parents?,Mbɑ̄' ē pí mɑ̄ é nsī mɑ̀ hɑ̄?
Où habitent-ils(quand c'est la 2ème fois qu'on pose la question)?,Pó nsī mɑ̀ hɑ̄ lī?
Que fait ta mère comme métier?,Mɑ̄ é ngʉ́ kɑ́? Mɑ̄ é mfɑ́' kɑ́? Kɑ́ tɑ́ mɑ̄ é mfɑ́' ɑ̄?
Que fait ton père comme métier?,Mbɑ̄' é ngʉ́ kɑ́? Mbɑ̄' é mfɑ́' kɑ́? Kɑ́ tɑ́ mbɑ̄' é mfɑ́' ɑ̄?
Que font tes parents?,Mbɑ̄' ē pí mɑ̄ é ngʉ́/mfɑ́' kɑ́?
"Le mari, l'époux.",Ndū.
Mon mari.,Ndū à.
"La femme, l'épouse.","Nzhwīē, ntòònjò'."
"Ma femme, mon épouse.","Nzhwīē à, ntòònjò' à."
Ma femme s'appelle Noumbissie.,Zén nzhwīē á mɑ́ Nǔmbísīē.
Ma femme est stérile.,Nzhwīē á mɑ́ ncēn mʉ̀nzhwīē.
Mon mari s'appelle Siebatcheu.,Zén ndū á mɑ́ Sīēbɑ́ncə̄ə̄.
Mon mari est stérile.,Ndū á mɑ́ ncìncēn mbâ'.
Mon mari ne m'aime plus.,Ndū ā sǐ' nját nkwé' ā bɑ̄.
Coépouse.,Fɑ̄h/fə̄h. Fɑ́hnkhʉ̄ɑ̄/fə́hnkhʉ̄ɑ̄.
Ma coépouse.,"Fɑ́h à, fə́h à."
As-tu des enfants?,Ǒ ghʉ̌ pōō ú? Ǒ ghʉ̌ pʉ̄nkhʉ̄ɑ̄ ɑ́?
J'ai un enfant.,Ngɑ̌ ghʉ̌ tɑ̀' mōō.
Mon enfant a sept ans.,Mēn ǎ ghʉ̌ ngǔ'nzɑ̄ sə̀ə̀mbʉ́ɑ́.
Il/elle s'appelle Nakmanou.,Zēn zǐ mɑ́ Nàkmɑ̀nù.
"Non, je n'ai pas d'enfants.","Ngǎ', ǹ kɑ̀' ghʉ́ pōō(bɑ̄)."
Je n'ai aucun enfant.,Ǹ kɑ̀' ghʉ́ sə̀ə̄ mōō(bɑ̄).
"Oui, j'ai seulement six enfants.",Ŋ̄h! Ngɑ̌ ghʉ̌ ndɑ̌' pōō ntòhō.
As-tu des petits-enfants?,Ǒ ghʉ̌ pōō yòk pʉ́ɑ́ ɑ́?
Où habite ton père?,Mbɑ̄' é nsī mɑ̀ hɑ̄?
Son père a de l'argent?,Mbɑ̄' á ghʉ̌ nkɑ̄ɑ̄ ɑ́?
Quel âge a ta mère?,Mɑ̄ é ghʉ̌ ngǔ'nzɑ̄ sʉ̄' ʉ̄?
Quel âge a ton fils?,Mēn ò yì mbá' ghʉ̌ ngǔ'nzɑ̄ sʉ̄' ʉ̄?
Sa fille est très intelligente.,Mēn ì yì mʉ̀nzhwíé nzhīnù tɑ̀'.
Ses enfants sont très stupides/bêtes.,Pōō mbǐ nkíkén tɑ̀'.
"Je ne suis pas idiot, je suis intelligent.","Ǹ sī mɑ́ nkìnkèn bɑ̄, ngɑ̌ mɑ́ tɑ̀' nzhînù."
"Une bêtise, une sottise, une idiotie.","Kìkēn, kìkénù."
Tes enfants aiment-ils l'école?,Pōō mbǒ nkwé' nǔ ŋwɑ̀'nì í?
Ton frère ou ta sœur est déjà marié?,Mēmmɑ̄ ě yá' lə̄ə̄ndʉ̄ɑ̄ ɑ́?
Ton frère est encore célibataire?,Mēmmɑ̄ è yì mbâ' yǎt mɑ́ nshwìèmbâ' á?
Sa sœur est très belle.,Mēmmɑ̄ à yì mʉ̀nzhwíé pě'ngòò tɑ̀'.
Ses frères et sœurs sont plus intelligents que lui.,Póómɑ̄ á nzhīnù nshʉ́ɑ́ ī.
Ton grand-frère vit avec vous?,Ngà'mbhǐ ò yì mbá' nsī pí pěn?
Sa grande-sœur était morte.,Ngà'mbhǐ ì yì mʉ̀nzhwīē lɑ̀kúɑ́.
J'aime tellement ta petite-sœur.,Ngɑ̌ nkwé' ngà'njǎm ò yì mʉ̀nzhwīē tɑ̀'.
Je déteste tellement son petit-frère.,Ngɑ̌ mbéé ngà'njǎm ì yì mbâ' tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄.
Ton grand-père vit-il encore?,Mbɑ̄' ē ndāmɑ̌ nját wū ú? Mbɑ̄' ē ndāmɑ̀ yǎt wū ú?
"Oui, mon grand-père est encore vivant.","Ŋ̄h, mbɑ̄' ō ndāmɑ̌ nját wū."
Tu es chanceux.,Mbhì bɑ́ wò. Zīī zǒ léé.
Sa grand-mère n'est plus vivante.,Mɑ̄ ā [Mɑ̄ ɑ̄] ndāmɑ̀ sǐ' nját wū bɑ̄.
"Mes condoléances, mon frère, ma sœur.",Cə̄ə̄ ngwāh mēmmɑ̄ ò.
Est-ce que ton mari t'aime?,Ndū ó nkwé' ō ó?
Bien sûr! C'est quel genre de question ça?,Ŋ̄h bɑ̂! Yàā ntīē(Kɑ́ ntīē) tè'sínù báá ā?
Son mari ne l'aime pas du tout.,Ndū ī sǐ' nkwé' ī mbɑ̀ nèhē bɑ̄.
Ah bon? Vraiment?,Fà'á á? Ndéndēē é?
Ta femme est très gentille.,Nzhwīē ó ghʉ̌ mbè'nthʉ̄ tɑ̀ kēēmbʉ̄ɑ̄.
Sa femme est très stricte.,Nzhwīē í ncōh tɑ̀'.
"J'aime tellement ma coépouse, mais elle me déteste.","Ngɑ̌ nkwé' fɑ́h à tɑ̀', tɑ́', à mɑ̄mbéé nā."
Sa coépouse cherche trop des problèmes.,Fɑ́h í ncāk nù tɑ̀'.
Elle bagarre avec sa coépouse.,Yɑ̄ɑ̄ pí fɑ́h í mɑ̀ntʉ̄ɑ̄' nkwàà. Ǎ mɑ̀ntʉ̄ɑ̄' nkwàà pí fɑ́h ì.
Ma coépouse et moi avons résolu nos problèmes.,Yōh pí fɑ́h á nìɑ̄ [nìɑ̀ɑ̀sǐ] ncà' yōh.
Es-tu célibataire?,Ǒ mɑ́ nshwìè wěn?
"Oui, je suis célibataire.","Ŋ̄h, ngɑ̌ mɑ́ nshwìèwèn."
Je suis femme célibataire.,Ngɑ̌ mɑ́ nshwìè mʉ̀nzhwīē.
Il est célibataire.,Ǎ mɑ́ nshwìè mbâ'.
Je suis dans une relation amoureuse.,Wěn nɑ́ à.
Je suis fiancée.,Pó ghù ā. Pó kɑ̀' ā lə́ə́ndʉ̄ɑ̄.
Je suis déjà fiancée.,Pó yá' ghù ā.
La dot.,Ghù.
Je suis marié.,Ngɑ̌ lə́ə́ndʉ̄ɑ̄.
Je suis déjà marié.,Ngɑ̌ yá' lə̄ə̄ndʉ̄ɑ̄.
Je n'ai pas trouvé de mari.,Ǹ kɑ̀' yīī ndū. Ngɑ̌ cǎm ndʉ̄ɑ̄.
Je suis divorcé(e).,Ngɑ̌ tóm lə́ə́ndʉ̄ɑ̄.
Je suis séparé de ma femme.,Yōh pí nzhwīē á sèèsì/ghɑ̀ɑ̀sì.
Je suis séparée de mon mari.,Yōh pí ndū á sèèsì/ghɑ̀ɑ̀sì.
Je suis stérile.,Ngɑ̌ mɑ́ ncên wèn. Ngɑ̌ mɑ́ ncìncên wèn.
Je suis un polygame.,Ngɑ̌ mɑ́ ngà'kə̀ə̄pʉ̌nzhwīē.
La polygamie.,Nǔkə̀ə̄pʉ̌nzhwīē.
La monogamie.,Nǔmʉ̀nzhwīēnshʉ̀'.
Je suis veuf.,Ngɑ̌ mɑ́ fɑ̄h mbâ'.
Je suis veuve.,Ngɑ̌ mɑ́ fɑ̄h mʉ̀nzhwīē.
Chapitre 6. Relations familiales(2).,Nzâknù 6. Nkhʉ̌těndʉ̄ɑ̄(2).
"La famille est la racine vitale de l'humanité. À la fin de ce chapitre, vous serez en mesure de citer tous les membres de la famille en langue fè'éfě'è.",Těndʉ́ɑ́ mbɑ̄ mɑ́ ngǎ'vɑ̌h nzhwìàwènòk! Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī zén nkwèè pʉ̌ těndʉ̄ɑ̄ ò mɑ̀ ghə̀ə̄ fè'éfě'è.
L'oncle maternel.,Mbɑ̂' wèn njàm mɑ̄. Mēmmɑ̄ mɑ̄ yì mbâ'.
L'oncle paternel.,Mbɑ̂' wèn njàm mbɑ̄'. Mēmmɑ̄ mbɑ̄' yì mbâ'.
Le petit-fils.,Mênmēn(yì mbâ'). Mēn yòk pʉ́ɑ́(yì mbâ').
C'est ma petite-fille.,Mênmēn à(yì mʉ̀nzhwīē) bɑ́. Mēn à yòk pʉ́ɑ́(yì mʉ̀nzhwīē) bɑ́.
