Column1,French,Nufi
3286," pour respirer, on aspire l'oxygène et rejette le dioxyde de carbone.","Pó ndī' yèh mfák mbè'fōh, nnāk fōhsìpè' "
3287," Mon ami, comment vas-tu ? Syn. yǔ', mwēn.",Mɑ̀ lāhā mbê ? 
3288, il convient que vous veniez,Yέέ pə̀' mɑ́ pèn sɑ́' 
3289," chanceux, heureux.",Mbə́'zīī 
3290, cette fille est belle mais a un mauvais caractère,Ngòò lɑ́ pə̌' ndə̀b mbə̄h mɛ̀ɛ̀ 
3291, je suis content,Nǔ mɑ̀mbə́' ā 
3292, je serais ravi si tu me donnais de l'argent.,Ò hɑ̌ ā nkɑ̄ɑ̄ mɑ̀ yέέ mbə́' ā
3293, cet homme est généreux.,Mbə̀' wèn bɑ́ mbā' lɑ́ 
3294, Comme cet enfant est beau!,Mbʉ̄ɑ̄ mōō lɑ́ mbə̀' mbɑ̀! 
3295, fais attention à ta tête,Pə̄ə̄ tū ō 
3296, fais attention en traversant la route,Lí' lǎt mēnzhì mbə̄ 
3297," prends soin de toi, sois prudent",Pə̄ə̄ nā ò 
3298, méfiez-vous des on-dit,Wèn pə̄ə̄ pó lēn mɑ̂ 
3299, patience,Mbə̄ mbɑ̀ 
3300," fais attention, méfie-toi de lui",Pə̄ə̄ mī 
3301, salut mon frère,Mbə̄ lɑ́ mēmmɑ̄ ò 
3302, salut maman,Mbə̄ mɑ̄ 
3303," salut père, salut papa",Mbə̄ lɑ́ mbɑ̄' 
3304, salut mon fils,Mbə̄ mēn à 
3305,,"Ǒ və́h yō ò ? salut! Au pluriel, pour saluer plusieurs personnes, on dit plutôt"
3306, salut mes frères et sœurs.,Pèn pə̄ə̄ lɑ́ póómɑ̄ 
3307, la porte a coincé sa main,Nzhìndʉ́ɑ́ pə̄ə̄ pō ī 
3308, personne ne saurait détester son enfant.,Wèn lɑ̀' péé mēn ì 
3309, je vais à la maison.,Ngɑ̌ ngén mɑ̀ mbèè 
3310," je vais à la maison, je vais au village, selon le contexte.",Ngɑ̌ ngén mɑ̀ mbèè 
3311," il a pressé mon abcès sans que c'en ne soit à terme, sans que cela ne soit à suppuration",Ǎ nǒ' mbèè zǎ sì yāā pīh 
3313, mbéénī,Le fourreau 
3315, machette,Nī 
3316, sept vient à la suite de six,Sə̀ə̀mbʉ́ɑ́ mbēē ntòhō 
3317," vas-y, je suivrais","Dhù nshʉ́ɑ́, ngɑ̌ ìmbēē "
3318," les soldats, les policiers ont tapé le bandit ensemble",Pɑ̌mɑ́njwě' péé nɑ́ ncwē' nzáb ī 
3320, fais attention en traversant la route,Lí' lǎt mēnzhì mbə̄ə̄ 
3323, patience,Mbə̄ə̄ mbɑ̀ 
3325, salut mon frère,Mbə̄ə̄ lɑ́ mēmmɑ̄ ò 
3326, salut maman,Mbə̄ə̄ mɑ̄ 
3327," salut père, salut papa",Mbə̄ə̄ lɑ́ mbɑ̄' 
3328, salut mon fils,Mbə̄ə̄ mēn à 
3332, il a volé sournoisement mon savon,Ǎ pə̀ə̄ sòh zǎ 
3333, aller se mettre en aparté.,Ntēn càm 
3334, il est très méchant.,Ǎ mbə́ə́ nù tɑ̀' 
3335, aller se mettre en aparté.,Ntīē càm 
3336, sept vient à la suite de six,Sə̀ə̀mbʉ́ɑ́ mbēēsī ntòhō 
3337," vas-y, je suivrais","Dhù nshʉ́ɑ́, ngɑ̌ ìmbēēsī "
3338," premièrement, pour commencer",Làh ntō' 
3339, deuxièmement,Làh mbēēsī 
3340," pour terminer, pour finir",Làh mméésí 
3341," les soldats, les policiers ont tapé le bandit ensemble",Pɑ̌mɑ́njwě' péésí nɑ́ ncwē' nzáb ī 
3342, cela m'a pincé la main,Yáá pə̄ə̄sī pō ā 
3343, agrafe ce lot de papiers.,Pə̄ə̄sī nzâk ncə̀ə̀ lɑ́ 
3344," je m'avancerai, tu me suivras après",Ngɑ̌ ìmbéh mbhì tɑ́ ó pēēsī 
3345, il a fait ça à plusieurs reprises,Ǎ ghʉ̌ yāā mbéhmbēh
3346," il a beaucoup consommé du sucre, c'est la raison pour laquelle il a le diabète.","Ǎ zɑ́ làmnsāk mbéhmbēh, nǔ yáá tɑ́ á ghʉ̌ ghòōlàmnsāk"
3347," je m'avancerai, tu me suivras après",Ngɑ̌ ìmbéhmbhì tɑ́ ó pēēsī 
3348, il s'est avancé,Ǎ pěhmbhì ngénɑ́ 
3349," il est déjà parti, il s'est déjà avancé",Ǎ yá' pěhmbhì 
3350, merci d'avance,Ngɑ̌ pěhmbhì mbēn ō 
3351, je m'avancerai d'abord,Ngɑ̌ ìnjā' pěhmbhì 
3352," préaviser, avertir, prédire, prophétiser, augurer, pronostiquer",Mbéhmbhì nsíé 
3353, la branche de cette arbre est ployée.,Pó thʉ̄ lɑ́ pēh sīē 
3354," éteint le feu ou la lumière, selon le contexte.",Pēh mōh 
3355, on a barré la route,Pó pēh nzhì 
3356," suivre, venir après",Autre graphie de mbēē 
3357, sapeur-pompier,Mbêhmōh 
3358," la maison brûle, appelle les pompiers.","Pě' mɑ̀nkhʉ̄, cēh pɑ̀mbéhmōh "
3361," on mange la patate crue, mais pas le macabo","Pó mfāt njò' mbə̌h, tɑ́' sī ngòòmbōk bɑ̄ "
3362, il a une mauvaise mine.,Nshʉ̀ɑ̀ mǐ pə́h 
3363, il est fâché,Nǔ mɑ̀mbə̄h ī 
3364, ce type ne se fâche jamais,Nù sǐ' mbə̄h mbā' lɑ́ bɑ̄ 
3365, nom propre,Nùpɑ́'mbə̄hwèn 
3366, cette fille est laide.,Ngòò lɑ́ pə̄h 
3367," tu es trop faible, incapable.",Ǒ mbə̄h yə̄ə̄ 
3368, cet homme est très méchant,Mbā' lɑ́ mbə̄hnthʉ̄ yə̄ə̄ 
3369, sept vient à la suite de six,Sə̀ə̀mbʉ́ɑ́ mbēhsī ntòhō 
3370," vas-y, je suivrais","Dhù nshʉ́ɑ́, ngɑ̌ ìmbēhsī "
3372, deuxièmement,Làh mbēhsī 
3373," pour terminer, pour clôturer",Làh mméésí 
3374, écorcher la peau de ce serpent rare,Nsíá ngòp mbə̄lòknshì 
3376," bonjour, bonne matinée",Mbè'mbè' fɑ̌hnzɑ̄ 
3377, bonne journée,Mbè'mbè' líé'nzɑ̄ 
3378, bonne soirée,Mbè'mbè' mbūànzɑ̄ 
3379," bonjour, bonne matinée",Mbə̀'mbə̀' fɑ̌hnzɑ̄ 
3380, bonne journée,Mbə̀'mbə̀' líé'nzɑ̄ 
3381, bonne soirée,Mbə̀'mbə̀' mbūànzɑ̄ 
3382," sarcler le champ en retournant la terre, en binant.",Mbén nʉ̀ɑ̀ 
3383, la voiture est tombée au champ.,Ndʉ́' pèn ngwɑ́ kò 
3384, il a accepté ma demande de pardon,"Ǎ pén lɑ̀hsì zā, ǎ pén mɑ́ á lɑ̀hsì ā "
3385, il a validé mon travail.,Ǎ pén mɑ́ mfɑ̀' mǎ pè' 
3386, je te remercie beaucoup,Ngɑ̌ pén ō tɑ̀' 
3387, remercie-le,Pēn ī 
3388, va le remercier,Ghèn mbēn ī 
3389, remercie tes parents,Pēn mbɑ̄' ē pí mɑ̄ ē 
3390, je vous remercie mes frères et sœurs,Ngɑ̌ pén yēē póómɑ̄ 
3391, ne me remercie pas,Ǒ sì pēn ā 
3392, (réponse à ngɑ̌ pén ō) il n'y a pas de quoi,Ncà' sī wū bɑ̄ 
3393, il ne croit pas en Dieu.,À sǐ' mbēn nǔsīē bɑ̄ 
3394, cet enfant obéit à ses parents.,Mōō lɑ́ mbēn mbí mɑ̄ ā pí mbɑ̄' ā 
3395," ne concède pas, ne capitule pas",Ǒ sì pēn mbú ì 
3396," se résigner, capituler, accepter la défaite, se soumettre, être vassal.",Mbēn ntʉ̀ɑ̀' 
3397, ses seins font souvent mal,Mbēn mǐ ngʉ́ njā' 
3398, heureusement que ma fille n'a pas encore les seins.,"Síé fʉ̀, mēn à kɑ̀' tɑ̄ ntə̄ə̄ mbēn "
3399, l'enfant tète,Móó mɑ̀nnə̄' pēn 
3400," le lait de vache, le yaourt.",Mbén nə̀ə̀nɑ̀' 
3401," un fanfaron, qui fait le brave, vante ses exploits réels ou supposés",Mbênmbòò 
3402, toi là tu aimes beaucoup à fanfaronner,Wò lɑ́ sǐ' pén mbòò 
3403," il a fanfaronner, on l'a tabasser et il est parti honteusement","Ǎ pén mbòò pō zāb ī, à fī' mɑ̀ ndàk lì pə̌tèn ngénɑ́ "
3406," il a fanfaronner, on l'a tabasser et il est parti honteusement","Ǎ pénmbòò pō zāb ī, à fī' mɑ̀ ndàk lì pə̌tèn ngénɑ́ "
3407," (litt., le livre de la bonne nouvelle) la bible",Ŋwɑ̀'nǐ Mbè'nkèn 
3408, la bible,Ŋwɑ̀'nǐ Mbə̀'nkèn 
3409," un croyant, personne qui croit pas en Dieu.",Mbênsīē 
3410," personne crédule, un béni-oui-oui",Mbênsìkwà' 
3411, un fanfaron.,Mbênmbòò 
3412," Si tu savais bien que tu étais cancrelat, que cherchais-tu donc parmi les poules?",Ò lɑ̌' mbēnmbēn tɑ̄ mfhʉ̄ mɑ̀ hɑ́ wǎ' ngāp ? 
3413, la nausée,Pènsínthʉ̄ 
3414, j'ai un haut-le-cœur,Nthʉ̄ á mɑ̀mbénsí 
3415, sa mère est gentille,Mɑ̄ á mbé'nthʉ̄ 
3416, ma belle-mère est gentille,Mɑ̄shwī' á ghʉ̌ mbè'nthʉ̄ 
3417, gentille femme.,Mbè'nthʉ̄ mʉ̀nzhwīē 
3418," volontiers, volontairement, bénévolement",Pí mbè'nthʉ̄ 
3419, sa mère est gentille,Mɑ̄ á mbə́'nthʉ̄ 
3420, ma belle-mère est gentille,Mɑ̄shwī' á ghʉ̌ mbə̀'nthʉ̄ 
3421, gentille femme.,Mbə̀'nthʉ̄ mʉ̀nzhwīē 
3422," volontiers, volontairement, bénévolement",Pí mbə̀'nthʉ̄ 
3423, peut-être il pleuvra,Mbé'ntìè' mbàk lō 
3424, peut-être il pleuvra,Mbə́'ntìè' mbàk lō 
3425," vainqueur, suzerain",Anto. nshʉ̀ɑ̀ntèn 
3426, nous nous sommes rencontrés au marché.,Yōh pɑ́h í pə̌p ntēē 
3427, ma femme et moi avons les mêmes habitudes,Màà yōh pí nzhwīē á pə̀p 
3428, ces deux routes-là coïncident (se rencontrent) là-devant.,Nzhì bǎ pʉ́ɑ́ ncō mbhǐ síì mbə́p 
3429," oui, le compte est bon.","Ŋ̄h, yáá pə̀p "
3430, la poule a pondu quatre œufs,Ngáp nǐ mbə̀p kwɑ̀ 
3431," éclore, en parlant des poussins qui sortent de l'œuf",Nkhʉ̄ɑ̄' mbə̀p 
3432, le bienfait ne se perd jamais.,Nù mbə̀pə̄' sǐ' mbīē bɑ̄ 
3433, nous nous sommes rencontrés au marché.,Yōh pɑ́h í pə̀psǐ ntēē 
3434, ma femme et moi avons les mêmes habitudes (nos habitudes coïncident),Màà yōh pí nzhwīē á pə̀bsì 
3435, ces deux routes-là coïncident (se rencontrent) là-devant.,Nzhì bǎ pʉ́ɑ́ ncō mbhǐ síì mbə́psí 
3436," oui, le compte est bon.","Ŋ̄h, yáá pə̀psì "
3437, c'est un chanceux,Ǎ ghʉ̌ mbè'zīī 
3438, c'est un chanceux,Ǎ ghʉ̌ mbə̀'zīī 
3439, je plante les bananiers.,Ngɑ̌ kòmbhí ndàt 
3440, quitte devant moi,Lǒ mbhǐ à 
3441, va devant,Ghěn mbhì 
3442," va de l'avant avec ce bon travail, du courage, félicitation",Lǎh mbè' mfɑ̀' ngén mbhì 
3443," tu es devant moi, tu es mon aîné, selon le contexte",Ǒ mbhǐ à 
3444," la maquette, une ébauche",Mbhì wū 
3445, premier,Tûmbhì 
3446, tête,Tū 
3447, devant,Mbhì 
3448," auparavant, jadis.","Yāā lɑ̄' mbhì, yāā lɑ̌'bɑ̄ mbhì "
3449, c'est mieux ainsi,Yáá mbhì fà'á 
3450," tu es mieux par rapport à moi, mieux de toi.",Mbhì bɑ́ wò 
3451, il est préférable de laisser tomber,"Mbhì fà'á, ò nāk"
3452, la nourriture est déjà cuite.,Wúzɑ́ yá' phī 
3453, l'affaire-là s'est aggraver.,Nǔ mbǎ phí 
3454, j'ai arrangé l'affaire dont nous parlions au point où c'est fin prêt.,Ngɑ̌ nìɑ̀ɑ̄ nù mbā tɑ̀ yāā pīh 
3455," je suis sorti avant-dernier à l'école, Kamga ne peut jamais me depasser.","Ngɑ̌ tóm mbhǐndèhsì wěn ndʉ̄ɑ̀ŋwɑ̀'nì, mbɑ́ Nkǎmngǎ' lɑ̀ shʉ́ɑ́ ā sə̀ə̄līē' "
3456, la poupe.,Anto. njàmndʉ̂'nshì 
3457, le font,Mbhìzīī 
3458, attiser le feu,Mbhʉ́ mōh 
3459," éventer, ventiler",Mbhʉ́fōh 
3460," ventilateur, éventail",Mbhʉ̀fōh 
3461, charger la batterie du téléphone,Mbhʉ́ ndǒh nkhʉ̌nkèn 
3462, le chargeur de batterie.,Mbhʉ̀ndòh 
3463, tu es très brutal.,Ǒ mbhʉ́ yə̄ə̄ 
3464, ne me réprimande pas en public.,Ǒ sì phʉ́ʉ́ bá mbhǐ ngə̀' 
3465, on m'a hué au point que j'ai eu honte,Pó phʉ̀ʉ̀ bā tɑ̀ túfhù kō ā 
3466, on a hué le président de la république,Pó phʉ̀ʉ̄ nsɑ̂'ngwè' 
3467, les citoyen conspuent le messager du président,Pɑ̌lɑ́' mɑ̀mbhʉ́ʉ́ ngà'nzhǐ nsɑ̂'ngwè' 
3468, on avait hué l'orateur a tel point qu'il a pleuré.,Pō lɑ̀phʉ̀ʉ́ nsôknù tɑ̀ à ghê' 
3469, un chargeur électrique,Mbhʉ̀ndòh
3470," je propose que, je suggère que",Ngɑ̌ mɑ̀mbhʉ̄ mɑ́ 
3471, je propose qu'on ne recrute que ceux qui savent parler leur langue maternelle,"Ngɑ̌ mɑ̀mbhʉ̄ mɑ́ pō lī' lǎh wèn mfɑ̀', mɑ̀ ǎ zhí làh ngə́ə́ ghə̀ə̄lɑ̄' zǐ "
3472," C'est vrai que l'idée n'est pas assez bonne, mais toi, que proposes-tu?","Yáá ndéndēē mɑ́ kwà'sì kɑ̀' pé' mɑ́ tɑ̀', tɑ́', ǒ mɑ̀mbhʉ̄ yǒ kɑ́ ? "
3473, il ne faut pas rejeter une proposition sans suggérer l'autre,Lí' ghǎ' kwà'sì mɑ̄mbhʉ̄ mò' 
3474, offre d'emploi,Phʉ́mfɑ̀' 
3475, on m'a proposé un emploi,Pó phʉ̄ ā mfɑ̀' 
3476," proposition de mariage, fiançailles",Phʉ́ lə́ə́ndʉ̄ɑ̄ 
3477, ce n'est pas la peine que tu lui proposes cela.,Ǒ sì míé mbhʉ̄ ī yāā mbɑ̀ phʉ̄ 
3478," Le chef m'a promis une femme, où vais-je prendre la layette?","Fə̌ pʉ́h ā mʉ̀nzhwīē, ǹ kɑ́lǎh yà ndhí móó hɑ̄ ? "
3479," Le chef m'a promis une femme, où vais-je prendre le baby-sitter?","Fʉ̌ pʉ́h ā mʉ̀nzhwīē, ǹ kɑ́lǎh yà ndhìmóó hɑ̄ ? "
3480, il ne m'a même pas proposé sans nourriture avant que je ne refuse.,À kɑ̀' phʉ̄ ā wúzɑ̄ ī mbɑ̀ phʉ̄ tɑ́ ǹ ngā' 
3481," s'annoncer, frapper à la porte.",Mbhʉ̄ nzhì 
3482, 1h : 05min.,Nàm nshʉ̀' mbhʉ̄ tî 
3483," le sillon, limite entre les billons",Mbhʉ̂nʉ̀ɑ̀ 
3484, le chien est couché dans le sillon,Mvʉ̄ɑ̄ ně' mbhʉ̂nʉ̀ɑ̀ 
3485, c'est une personne brutale.,Ǎ mɑ́ mbhʉ̀mbhʉ̌ wèn 
3486, si tu t'empresse trop tu traverseras la cible,Ò phʉ̌sí yə̄ə̄ mɑ̀ ǒ njɑ̄' ndòm 
3487," l'affaire-là est imminente, c'est urgent",Nù lɑ́ mɑ̀mbhʉ́sí 
3488, à lui,"Mbí ì, mbú ì "
3489, à mon enfant,Mbí mēn à 
3490," pour mon père, à l'intention de mon père.",Mbí mbɑ̄' ō 
3491, qui va endosser la responsabilité de cette affaire?,Wɑ̄ bɑ́ mɑ̀ngén pǐ' béé nù lè 
3492, responsabilité,Mbì'nù 
3493, je me porte responsable de cela,Ngɑ̌ ìmbí' yāā 
3494, j'ai tellement de responsabilités,Mbì'nù mǎ yə́ə́ tɑ̀' 
3495, ce n'est pas ma responsabilité.,Sī mbì'nù mǎ bɑ́ bɑ̄ 
3497, ce n'est pas ma responsabilité,Sī mbì'nù mǎ bɑ́ bɑ̄ 
3498, responsabilité paternelle,Mbì'nǔ mbɑ̄' 
3499, le chien allaite des enfants,Mvʉ́ɑ́ mɑ̀nnə̄' pōō mbī 
3500, ses enfants sont intelligents,Pōō mbǐ nzhīnù 
3501, tu es trop bavard,Ǒ mbī' nù tɑ̀' 
3502, c'est lui qui a dénoncé.,Yʉ̄ɑ̄ bɑ̄ mbī' 
3503, ton habit a une tache,Mbí' nɑ́ ndhī ò 
3504, enlevé la saleté sur ton habit à l'aide du savon,Lǎh sòh ntēh mbī' lɑ́ nɑ́ ndhī ò 
3505," on ramasse les déchets, mais lave la saleté","Pó nŋwáá ghǎ'zū, tɑ́' mɑ̀nsóh mbī' "
3506," déchet, reste, débris inutile d'un objet",Ne pas confondre avec ghǎ'zū 
3507," menus pieds, pieds mince et minuscule",Mbíá nkhù 
3508, j'ai fait des selles très menues.,Ngɑ̌ nǐ mbíá nzāt 
3509, il n'a aucun défaut physique.,À kɑ̀' ghʉ́ sə̌ mbìá nɑ́ ì 
3510, Quel est mon tort dans cette affaire?,Yà mbìá tə̌' béé nù lè mɑ́ kɑ́ ? 
3511, faire qqch posément,Nàh mbīā nā wèn ngʉ́ wū 
3512, mange doucement,Pīā nā ō nzɑ̄ 
3513," si les jumeaux se fâchent et on ne les console pas, ils peuvent s'évanouir","Póónì yǎ'nthʉ̄, ǒ lɑ̀ pīā yɑ̄ɑ̄, mɑ̀ mbɑ́ pō pā' "
3514, la paix,Mbīānì 
3515, prendre un dessert,Mbīā nshù 
3516, Qui attends-tu?,Wɑ̄ tɑ́ ó mɑ̀mbīɑ̄ ? 
3517, attends-moi.,Pīɑ̄ bā 
3519, soit patient,Zhī mbʉ́ɑ́ pīɑ̄ 
3520, il ne sait pas être patient.,À sǐ' nzhī mbʉ́ɑ́ pīɑ̄ bɑ̄ 
3521," n'espère pas, ne compte pas sur ça",Ǒ sì pīɑ̄ nā ó nā 
3522, j'espère qu'il pleuve,Ngɑ̌ mɑ̀mbīɑ̄ mɑ́ mbàk lō 
3523, j'espère réussir l'examen,Ngɑ̌ mʉ̀mbīɑ̄ mɑ́ ngɑ̌ ìntōh làksì 
3524," un garde, un gardien",Mbīɑ̄ɑ̀zʉ̀' 
3525," un garde, un gardien",Mbīɑ̀zʉ̀'
3526," le garant, le protecteur de la constitution, celui qui protège la loi","Mbīɑ̀nshʉ̀ɑ̀', mbīɑ̀kèè "
3527, le censeur de la réunion,Mbīɑ̀nshʉ̀ɑ̀' kòm 
3528, le procureur de la république,Mbīɑ̀shʉ̀ɑ̄'ngwè' 
3529, patiente,Pīɑ̄sī 
3530, sois patient,Zhī mbʉ́ɑ́ pīɑ̄sī 
3531," il ne sait pas patienter, il n'est pas patient",À sǐ' nzhī làh mbīɑ̄sī bɑ̄ 
3532, je patiente,Ngɑ̌ mɑ̀mbīɑ̄sī 
3533, dictionnaire,Ŋwɑ̀'nǐmbíághə̀ə̀ 
3534, j'ai mangé le fuit de raphia pour calmer la faim.,Ngɑ̌ fát mbǎ'nkhʉ̄ɑ̄ ndáh mbīāh nzhìèkǔ' 
3535," faire qqch avec minutie, doucement et surement",Mbīāh nā ngʉ́ wū 
3536, mange posément.,Pīāh nā ō nzɑ̄ 
3537," secouer les paupières, les faire palpiter","Mbíátsí nə̄h, mbíátsí ngòp nə̄h "
3538, remuer les paupières est un mouvement reflexe.,Nàh mbíátsí nə́h mɑ́ tɑ̀' wū sìkə̀' 
3539, remuer les paupières est un mouvement reflexe.,Nàh mbíátsí nɑ́h mɑ́ tɑ̀' wū sìkwè' 
3540, ce fruit est avarié.,Tə́ə́thʉ̄ lɑ́ pìè 
3541, taille un bâtonnet pour extirper les chiques.,Pìē shìà ndáh ntēh ntèndʉ̄ɑ̄ 
3542," un bon vieillard est celui qui sait être prudent, vigilant et réfléchit",Fhʉ̀fɑ́htū mɑ̀ mbìènā ì 
3543, verse de l'eau dans la grande assiette,Pìē' nshǐ ntám mʉ̄ɑ̄ kā' 
3544, verse ma part d'huile ici,Pìē' yà mvát séè 
3545, transvase le vin-là ici,Pìē' ndù' lɑ́ séè 
3546, ne transvase pas tout.,Ǒ sì píé' wǎ' 
3547, mon foie,Mbìè mā 
3548, j'ai soif,Mbìè mǎ fʉ́ɑ́ 
3549, il m'a donné seulement une petite parcelle.,Ǎ hɑ́ ndɑ̌' mbìē yáá mbú à 
3550, cinq virgule huit (5.8),Tî mbìè hə̀ə̄ 
3551, 1/10 = 0.1 = mbìè nshʉ̌' nɑ́ ghǎm = mbìé nɑ́ ghǎm.,Fôhnì 
3552, le vendeur à perte,Mbīèntēē 
3553, il s'est fourvoyé,Ǎ píé kò 
3554, perdre du temps,Mbīē ntìè' 
3555," j'ai fait faillite, j'ai fait une vente à perte",Ngɑ̌ píé ntēē 
3556, perdre un procès,Mbīē ncà' 
3557," on a tout partagé, tu as raté, tu as perdu, tu as manqué.","Pó ghɑ̀ɑ̀ nnām ō, ǒ píé "
3558, tisser des cordons pour en faire un sac par exemple,Mbīē' nkhʉ̀ 
3559," tresser les cheveux, faire les nattes sur les cheveux",Mbīē' tū 
3560, je n'aime pas des complots,Ǹ kɑ̀' kwé' píé' nù 
3561, ne me perds pas le temps.,Ǒ sì pīē ndə̌h mbú à 
3562, ne me perds pas le temps.,Ǒ sì pīē ntìé' mbú à 
3563, les Occidentaux,Pɑ̌mbīènàm 
3564, les Occidentaux,"Pʉ̌ mbīēnàm, pɑ̌mbīènàm "
3565, ce verre s'est émietté.,Ntû' ncîcāt lɑ́ cāt mbìēmbìè
3566, tisser les cordons.,Mbīē'sī nkhʉ̀ 
3567, traiter une affaire avec ruse,Mbīē'sī nù 
3568," tu es trop rusé, péjorativement",Ǒ mbīē'sī yə̄ə̄ 
3569," je m'avancerai, tu me suivras après",Ngɑ̌ ìmbíh mbhì tɑ́ ó pēēsī 
3570, cet avocat n'est pas tendre,Shʉ́ɑ́ndāk lɑ́ kɑ̀' pīh 
3571," si on appuie l'abcès qui n'est pas encore tendre, qui n'est pas à suppuration, ça fera très mal.",Pō nǒ' mbèè sì yāā pīh mɑ̀ yáá njā' tɑ̀' 
3572, tu ne m'avais pas averti avant d'agir,Ò lɑ̀ sì pīh ā tɑ̄ ngʉ́ 
3573, le vin l'a rendu ivre,Ǎ pím ndù' 
3574, je t'ai refusé mon champignon parce que tu m'avais refusé ta viande,Ngɑ̌ nám ó pò' zǎ mbī'tū mɑ́ ó lɑ̀ghʉ́ɑ́' ā mbɑ̀ɑ̀ bò 
3575, je l'ai frappé parce qu'il m'a provoqué.,Ngɑ̌ zàb ī mbī'tū mɑ́ á kàm ā 
3576, je t'ai refusé mon champignon parce que tu m'avais refusé ta viande,"Ngɑ̌ nám ó pò' zǎ mbī'tū mɑ́, ò lɑ̀ghʉ́ɑ́' ā mbɑ̀ɑ̀ bò "
3578, un grain d'arachide.,Ngàm mbìyā' 
3579, une boule de couscous,Mbǒ nsā' 
3580, un amas de résine formé sur le tronc de cette arbre,Mbò lìì 
3581, plie ces habits avant de les mettre dans le sac.,Pō ndhī lɑ́ tɑ̄ mmɑ́' pʉ̀ɑ̀ 
3582, conseille tes enfants,Hɑ̄ ntɑ́h mbí pōō mbō 
3583, tu as beaucoup de relations,Pʉ̀ mbǒ yə́ə́ 
3584, toi là tu aimes beaucoup à fanfaronner,Wò lɑ́ sǐ' pǒh nù 
3585, la prune non mûre ne cuit pas,Mbǒhshʉ̄ɑ̄ sǐ' mbhī bɑ̄ 
3586, la couleur rose,Lěn mbǒhshʉ̄ɑ̄ 
3587," mort violente, mort subite.",Mbǒh wūɑ̄ 
3590, j'ai peur,Ngɑ̌ mɑ̀mbōh 
3591, je n'ai pas peur,Ǹ sī mɑ̀mbōh bɑ̄ 
3592, j'avais peur,Ǹ dɑ̌'kòmbōh 
3593, la souris a peur du chat,Cwǎkhǔ mbōh ngòòndōm
3594," tu crains des futilités, tu es superstitieux",Ǒ mbōh wūnēhē 
3595, couleur rose,Lěn mbɔ̌shʉ̄ɑ̄ 
3596," vaille que vaille, tant bien que mal, quoi qu'il en soit.","Mbóksí, pòksì "
3597, mes amis se sont éloignés de moi parce que je ne suis qu'un pauvre type,Nsēn mbǎ khʉ̀ɑ̀ ā mbī'tū mɑ́ ngɑ̌ yǎ mɑ́ mbǒk 
3598, la fenêtre,Mbókndʉ̄ɑ̄ 
3599, la panthère est tombée dans le trou,Nə̀ə̀nzhwìé có ntám mbōk 
3600," percé de petits trous, criblé.",Mbókmbōk 
3601, je manque du bois,Ngɑ̌ mɑ̀mbōk nshwī 
3602, je manque d'argent.,Nkɑ́ɑ́ mɑ̀mbōk mbú à 
3603, mes amis m'évitent parce que je ne suis qu'un pauvre type,Nsēn mbǎ khʉ̀ɑ̀ ā mbī'tū mɑ́ ngɑ̌ yǎ mɑ́ mbōk 
3604, (proverbe) se dit lorsque quelqu'un est tellement pauvre qu'il ne sait même plus à quel saint se vouer,Mbǒk lɑ̀lǎh mɑ̄ ā 
3607," percé de petits trous, criblé",Mbókmbōk 
3608, le pauvre est entré dans le trou.,Mbók cō ntám mbōk 
3609, (lui et moi) nous nous sommes rencontrés au marché.,Yōh pɑ́h í pǒm ntēē 
3610, ma femme et moi avons les mêmes habitudes (nos habitudes coïncident),Màà yōh pí nzhwīē á pòm 
3611, ces deux routes-là coïncident (se rencontrent) là-devant.,Nzhì bǎ pʉ́ɑ́ ncō mbhǐ síì mbóm 
3612," oui, le compte est bon.","Ŋ̄h, yáá pòm "
3613, la poule a pondu les œufs,Ngám yɑ̄ɑ̄ mbòm 
3614," éclore, en parlant des poussins qui sortent de l'œuf",Nkhʉ̄ɑ̄' mbòm 
3615, couleuvre,Mmù'mbòm
3616, la couleuvre a l'habitude d'avaler les œufs.,Mmù'mbǒm mmí mbǒmngāp 
3617, il est rentré bredouille de la chasse,Ǎ fhʉ́ kǒ vʉ̄ʉ̄ mbômbō 
3618, je ne rentrerai pas bredouille de ce monde.,Ǹ sī ìmfhʉ̄ sīècɑ̌' lè mbômbō bɑ̄ 
3619," rétribuer, rémunérer les employés",Ncō' mbómfɑ̀' 
3620, nous nous sommes rencontrés au marché.,Yōh pɑ́h í pòmsǐ ntēē 
3621, ma femme et moi avons les mêmes habitudes (nos habitudes coïncident),Màà yōh pí nzhwīē á pòmsì 
3622, ces deux routes-là coïncident (se rencontrent) là-devant.,Nzhì bǎ pʉ́ɑ́ ncō mbhǐ síì lì mbómsí 
3623," oui, le compte est bon.","Ŋ̄h, yáá pòmsì "
3624, ballon du football,Ngǒ' mbǒ'nkhù 
3625, équipe de football.,Kə̌ mbǒ'nkhù 
3626, le boa,"Sorte de serpent mythique et légendaire, serpent imaginaire inspirant de la peur. Ne pas le confondre à ndíknū "
3627," œuf de dragon, perle rare, bijou précieux",Pǒm mbòò 
3628," toi, ma perle rare.",Wò pǒm mbòò mà 
3629," jouer aux bravades, jour à la feinte bravoure",Mbēn mbòò 
3631, un fanfaron.,Mbênmbòò
3632," maçon, constructeur de maison",Mbōòpè'è 
3633," le potier, le fabricant des pots, le fabriquant des marmites",Mbōòcàk 
